slice,key,key_normalized,n,top_L1,top_L1_share_pct,max_L2_row_prev_pct
candidate,侯友宜,侯友宜,6083,L1-06,35.9,28.5
candidate,柯文哲,柯文哲,8562,L1-06,39.5,24.3
candidate,赖清德,赖清德,6861,L1-06,33.1,27.2
source_raw,01_Ho_chinatimes_news,01_Ho_chinatimes_news,3395,L1-06,35.6,31.8
source_raw,01_Ho_ltn_news,01_Ho_ltn_news,1924,L1-06,37.2,29.2
source_raw,01_Ho_tvbs_news.csv,01_Ho_tvbs_news,687,L1-07,38.3,11.4
source_raw,01_Hou_X_datasets,01_Hou_X_datasets,77,L1-03,51.9,45.5
source_raw,02_Ke_X_datasets,02_Ke_X_datasets,28,L1-03,42.9,67.9
source_raw,02_Ke_chinatimes_news,02_Ke_chinatimes_news,6385,L1-06,42.2,27.5
source_raw,02_Ke_ltn_news,02_Ke_ltn_news,1483,L1-06,37.2,26.6
source_raw,02_Ke_tvbs_news,02_Ke_tvbs_news,557,L1-07,58.2,10.1
source_raw,03_Lai_X_datasets,03_Lai_X_datasets,43,L1-03,60.5,58.1
source_raw,03_Lai_chinatimes_news,03_Lai_chinatimes_news,3569,L1-06,34.4,32.4
source_raw,03_Lai_ltn_news,03_Lai_ltn_news,2801,L1-06,34.5,23.4
source_raw,03_Lai_tvbs_news,03_Lai_tvbs_news,448,L1-07,39.5,12.7
source_raw,meeting1,meeting1,178,L1-01,27.5,38.8
source_raw,副总统辩论,副总统辩论,382,L1-06,31.4,28.8
source_raw,总统辩论,总统辩论,357,L1-06,37.5,26.9
source_raw,柯文哲专访,柯文哲专访,109,L1-06,45.0,15.6
source_raw,萧美琴专访,萧美琴专访,116,L1-06,60.3,17.2
source_type,conference,conference,1163,L1-06,37.5,25.7
source_type,news,news,21249,L1-06,36.5,26.4
source_type,social_media,social_media,148,L1-03,52.7,46.6
period,2023-01,2023-01,268,L1-06,47.4,22.4
period,2023-02,2023-02,488,L1-06,37.9,24.6
period,2023-03,2023-03,753,L1-06,39.6,21.9
period,2023-04,2023-04,777,L1-03,33.1,26.8
period,2023-05,2023-05,1261,L1-06,40.0,22.8
period,2023-06,2023-06,1189,L1-06,34.6,22.0
period,2023-07,2023-07,1364,L1-06,32.0,31.6
period,2023-08,2023-08,1644,L1-03,32.1,26.8
period,2023-09,2023-09,1274,L1-06,37.8,26.3
period,2023-10,2023-10,1363,L1-06,37.8,27.3
period,2023-11,2023-11,2646,L1-06,44.0,24.5
period,2023-12,2023-12,3828,L1-06,33.6,28.4
period,2024-01,2024-01,2605,L1-06,34.7,30.2
period,nan,nan,3087,L1-06,37.3,26.3
