source_outlet,candidate,election_phase,n_units,mean_sentence_chars,l2_nonempty_rate_pct
Candidate interview,Ko (TPP),No valid date,109,41.56,37.6
Candidate interview,Unknown,No valid date,116,54.55,49.1
China Times,Hou (KMT),Final sprint,508,96.7,66.5
China Times,Hou (KMT),General campaign,1730,88.2,64.9
China Times,Hou (KMT),Nomination period,835,87.87,62.3
China Times,Hou (KMT),Primary season,322,88.58,59.3
China Times,Ko (TPP),Final sprint,1239,86.61,57.7
China Times,Ko (TPP),General campaign,1962,90.09,51.6
China Times,Ko (TPP),Nomination period,2266,87.6,57.1
China Times,Ko (TPP),Post-election / other,11,112.91,63.6
China Times,Ko (TPP),Primary season,907,80.77,62.7
China Times,Lai (DPP),Final sprint,440,83.41,73.4
China Times,Lai (DPP),General campaign,664,90.72,58.4
China Times,Lai (DPP),Nomination period,1694,87.23,71.9
China Times,Lai (DPP),Primary season,771,86.53,56.0
LTN (Liberty Times),Hou (KMT),No valid date,1924,80.83,61.0
LTN (Liberty Times),Ko (TPP),Final sprint,56,83.59,71.4
LTN (Liberty Times),Ko (TPP),General campaign,78,110.77,55.1
LTN (Liberty Times),Ko (TPP),Nomination period,501,81.04,69.5
LTN (Liberty Times),Ko (TPP),Primary season,848,76.8,70.6
LTN (Liberty Times),Lai (DPP),Final sprint,107,82.03,56.1
LTN (Liberty Times),Lai (DPP),General campaign,323,82.93,50.5
LTN (Liberty Times),Lai (DPP),Nomination period,995,80.03,69.4
LTN (Liberty Times),Lai (DPP),Primary season,1376,78.76,66.1
Policy forum (televised),Unknown,No valid date,199,52.36,71.4
TVBS,Hou (KMT),Final sprint,144,67.08,51.4
TVBS,Hou (KMT),General campaign,153,91.88,15.0
TVBS,Hou (KMT),Nomination period,233,75.67,30.5
TVBS,Hou (KMT),Primary season,157,78.38,32.5
TVBS,Ko (TPP),Final sprint,76,79.53,23.7
TVBS,Ko (TPP),General campaign,120,98.58,17.5
TVBS,Ko (TPP),Nomination period,260,80.98,21.2
TVBS,Ko (TPP),Primary season,101,72.3,30.7
TVBS,Lai (DPP),Final sprint,27,84.26,37.0
TVBS,Lai (DPP),General campaign,69,108.3,26.1
TVBS,Lai (DPP),Nomination period,157,87.24,24.8
TVBS,Lai (DPP),Post-election / other,2,72.5,0.0
TVBS,Lai (DPP),Primary season,193,81.94,39.9
Televised debate,Unknown,No valid date,739,34.93,68.3
X (social media),Hou (KMT),Final sprint,1,48.0,100.0
X (social media),Hou (KMT),General campaign,3,173.33,100.0
X (social media),Hou (KMT),Nomination period,47,72.06,89.4
X (social media),Hou (KMT),Primary season,26,150.54,84.6
X (social media),Ko (TPP),Final sprint,3,149.0,100.0
X (social media),Ko (TPP),Nomination period,14,158.5,100.0
X (social media),Ko (TPP),Primary season,11,91.09,81.8
X (social media),Lai (DPP),Final sprint,4,77.75,100.0
X (social media),Lai (DPP),Nomination period,15,141.53,80.0
X (social media),Lai (DPP),Primary season,24,216.12,100.0
